comment;Lang-tag;SA-tag;Off-lang-tag;;;
10 docteur;FRN;3;0;;;
3a9o bikom;DAL;2;0;;;
3la slamtak;DAL;1;0;;;
3layach dwyin;DAL;3;0;;;
9atala mihaniyin;DAL;2;1;;;
Ca craint;FRN;2;0;;;
acce gratuit;FRN;3;0;;;
ach kaydir;DAL;3;0;;;
Ach kayn;DAL;3;0;;;
Achkaydir liha;DAL;3;0;;;
Achkysyb lyha;DAL;3;0;;;
Achno kaydir;DAL;3;0;;;
Achnou kidire;DAL;3;0;;;
Adomat l5awafa;DAL;2;1;;;
adresse merci;FRN;3;0;;;
Adresse svp;FRN;3;0;;;
Adresse svvp;FRN;3;0;;;
Ah oui;FRN;3;0;;;
ahla dikrayati;DAL;1;0;;;
Ahssan haja;DAL;1;0;;;
Ain chok;DAL;3;0;;;
akhlabiya khouya;DAL;3;0;;;
Alaah ichafiha;DAL;1;0;;;
alah ira7mo;DAL;1;0;;;
Alah irahmo;DAL;1;0;;;
Alah ychafihh;DAL;1;0;;;
Alah yrhamo;DAL;1;0;;;
Alhafide nour;DAL;3;0;;;
Allah irahmo;DAL;1;0;;;
Allah irhma;DAL;1;0;;;
Allah ma3ak;DAL;1;0;;;
Allah yi7fadha;DAL;1;0;;;
Allahomma amin;DAL;1;0;;;
Allhi airahmo;DAL;1;0;;;
Ana bzf;DAL;1;0;;;
Ana jay;DAL;1;0;;;
Anas stafed;DAL;1;0;;;
Anas zidek;DAL;3;0;;;
Arosa bahr;DAL;1;0;;;
AshrafLCdj jabato;DAL;3;0;;;
Asir i9awed;DAL;2;1;;;
Aslkya hdi;DAL;2;0;;;
Asmaa mchina;DAL;3;0;;;
Assurance hadera;DAL;1;0;;;
Aucune difference;FRN;3;0;;;
Aucune idee;FRN;3;0;;;
Awlad mhalem;DAL;3;0;;;
Ayam dirassa;DAL;1;0;;;
Ayna lmkan;DAL;3;0;;;
Ayster rbi;DAL;3;0;;;
Ba thami;DAL;3;0;;;
Ba3da ba3da;DAL;1;0;;;
Bab al3okla;DAL;3;0;;;
Bab marakesh;DAL;3;0;;;
Bab tot;DAL;3;0;;;
Badr yagami;DAL;3;0;;;
Bande animaux;FRN;2;1;;;
Bant l9a7ba;DAL;2;1;;;
Basla bezaf;DAL;2;1;;;
BAZ 3likoum;DAL;2;0;;;
Bch7al soiree;FRN;3;0;;;
Beau travail;FRN;1;0;;;
Belle nostalgie;FRN;1;0;;;
bennis patisserie;FRN;3;0;;;
Berad wlkwadro;DAL;3;0;;;
berada h;DAL;3;0;;;
Beravo aisban;DAL;1;0;;;
Beravo doketor;DAL;1;0;;;
beverly hills;ANG;3;0;;;
Bgarr 3lal;DAL;2;1;;;
Bien dit;FRN;1;0;;;
Bien fait;FRN;1;0;;;
bien recu;FRN;1;0;;;
Biya rahi;DAL;3;0;;;
Bn courage;FRN;1;0;;;
Bni mskin;DAL;3;0;;;
Bon continuatin;FRN;1;0;;;
Bon courag;FRN;1;0;;;
Bon courage;FRN;1;0;;;
Bon service;FRN;1;0;;;
Bonjour docteur;FRN;1;0;;;
bonne chance;FRN;1;0;;;
Bonne initiative;FRN;1;0;;;
Bonne sante;FRN;1;0;;;
Bou3aza micaniq;DAL;3;0;;;
Boula3joul h;DAL;3;0;;;
Bravo 3elik;DAL;1;0;;;
Bravo alik;DAL;1;0;;;
Bravo choumicha;FRN;1;0;;;
Bravo doc;FRN;1;0;;;
bravo docteure;FRN;1;0;;;
bravo doctor;FRN;1;0;;;
Bravo adresse;FRN;1;0;;;
Bravo artiste;FRN;1;0;;;
Bravo lilo;DAL;1;0;;;
Bravo lilom;DAL;1;0;;;
Bravo monsieur;FRN;1;0;;;
bsa7atak khoya;DAL;1;0;;;
bsaha khtito;DAL;1;0;;;
Btzawmila otchmkir;DAL;2;1;;;
Buena banda;ESP;1;0;;;
Ca durecombien;FRN;3;0;;;
Ce soir;FRN;3;0;;;
